area_type,location,bedrm,total_sqft,bath,balcony,price
Super built-up  Area,JP Nagar,2,1100,2,2,70
Super built-up  Area,Kasavanhalli,3,1260,2,3,40.32
Super built-up  Area,Hebbal,2,1036,2,1,50
Built-up  Area,Akshaya Nagar,3,1662,3,3,85.1
Super built-up  Area,Yelachenahalli,3,1464,2,3,105
Super built-up  Area,Yelahanka,2,1234,2,2,80
Super built-up  Area,Sarjapur  Road,3,1403,3,1,55
Plot  Area,Kadugondanahalli,4,915,4,1,54.9
Plot  Area,2nd Stage Nagarbhavi,6,3000,8,3,451
Super built-up  Area,Seegehalli,3,1150,2,2,42.9
Built-up  Area,Hebbal,4,3900,4,2,410
Built-up  Area,Yeshwanthpur,5,850,4,2,90
Super built-up  Area,Kanakapura,2,929,2,1,46
Plot  Area,2nd Stage Nagarbhavi,6,2400,8,3,450
Plot  Area,TC Palaya,3,1350,2,1,75
Super built-up  Area,Vasanthapura,2,1135,2,1,39.73
Built-up  Area,Basava Nagar,2,1405,2,2,70
Plot  Area,Whitefield,2,1200,2,1,45.84
Super built-up  Area,Haralur Road,4,2805,4,3,154
Super built-up  Area,Yeshwanthpur,2,1161,2,2,64.08
Super built-up  Area,Kanakpura Road,2,1290,2,3,74
Super built-up  Area,Yeshwanthpur,3,2557,3,2,141
Built-up  Area,2nd Block Hrbr Layout,3,1480,3,2,90
Plot  Area,BTM 1st Stage,9,3300,14,,500
Super built-up  Area,Old Madras Road,3,1350,3,0,54.54
Super built-up  Area,Kadugodi,3,1580,2,2,65
Super built-up  Area,Banashankari,3,1470,2,1,88.64
Super built-up  Area,Ananth Nagar,1,500,1,1,14
Super built-up  Area,Sarjapur  Road,2,1346,2,1,61.92
Super built-up  Area,Canara Bank Layout,3,1600,3,3,90
Super built-up  Area,Naganathapura,2,720,2,1,120
Plot  Area,Narasapura,2,30,2,2,29.5
Plot  Area,Manjunath Nagar,4,1200,4,0,135
Super built-up  Area,Basapura,2,1200,2,2,35
Built-up  Area,Channasandra,3,1340,2,2,48.33
Plot  Area,Devanahalli,4,6136,4,,560
Super built-up  Area,Jigani,2,918,2,2,48
Plot  Area,Singena Agrahara,3,1500,3,2,115
Super built-up  Area,Yelahanka,2,1315,2,2,85
Plot  Area,Sector 1 HSR Layout,4,2400,5,,775
Super built-up  Area,Uttarahalli,3,1390,2,2,62.55
Super built-up  Area,Uttarahalli,3,1330,2,1,56
Built-up  Area,Jalahalli,5,3100,4,,265
Super built-up  Area,Mango Garden Layout,3,1824,3,3,125
Super built-up  Area,7th Phase JP Nagar,3,1420,2,2,96
Plot  Area,Kacharakanahalli,1,750,1,0,56.25
Super built-up  Area,Jalahalli East,3,1260,2,1,60
Super built-up  Area,Hennur Road,3,1561,3,2,95
Plot  Area,5th Phase JP Nagar,9,812,6,3,165
Super built-up  Area,"Bidere Agarahara, Behind Safal market",2,1060,2,2,42
Plot  Area,Hoodi,8,1120,8,3,145
Super built-up  Area,Haralur Road,2,1225,2,1,67.38
Super built-up  Area,Thanisandra,3,2144,3,2,135
Plot  Area,Kengeri,7,1200,6,2,140
Super built-up  Area,Electronic City,2,880,2,2,29
Super built-up  Area,Hoodi,3,1639,3,2,110
Built-up  Area,Thanisandra,3,1240,2,1,62
Super built-up  Area,Kanakpura Road,2,1500,2,2,69
Super built-up  Area,Haralur Road,2,1243,2,1,46
Super built-up  Area,Marathahalli,3,1575,3,,78
Super built-up  Area,Haralur Road,2,1027,2,2,44
Super built-up  Area,Kambipura,3,1082,2,1,56
Super built-up  Area,Konanakunte,3,1637,3,3,73
Super built-up  Area,Kanakpura Road,3,1665,3,2,86.58
Super built-up  Area,Electronic City,2,1265,2,0,56.93
Super built-up  Area,Electronic City,3,1691,2,2,102
Super built-up  Area,Thanisandra,2,1100,2,1,38
Built-up  Area,Grihalakshmi Layout,5,24,2,2,150
Plot  Area,Gopalkrishna Nagar,3,1500,3,2,62
Built-up  Area,Hosakerehalli,4,3205,5,1,380
Built-up  Area,Kammanahalli,5,1666,4,1,150
Super built-up  Area,Choodasandra,2,1115,2,2,50
Super built-up  Area,Mysore Road,2,1070,2,1,45
Super built-up  Area,Indira Nagar,2,1128,2,2,105
Super built-up  Area,Budigere,2,1162,2,1,57
Super built-up  Area,Sai Gardens,2,1339,2,2,55
Super built-up  Area,Mahadevpura,2,1192,2,2,75
Super built-up  Area,Haralur Road,3,1920,3,1,115
Super built-up  Area,Hennur,2,1255,2,1,52.32
Super built-up  Area,Rajaji Nagar,2,1357,2,1,115
Super built-up  Area,Dodda Kempaiah Layout,3,1600,3,2,75
Super built-up  Area,Hanumanth Nagar,2,1225,2,2,55.11
Plot  Area,Whitefield,4,2400,4,3,200
Super built-up  Area,Kasturi Nagar,3,1570,3,3,80
Super built-up  Area,Thanisandra,2,1093,2,2,70
Built-up  Area,Basaveshwara Nagar,3,1865,3,3,145
Plot  Area,R.T. Nagar,6,1200,7,3,165
Super built-up  Area,Kaikondrahalli,2,1039,2,2,80
Super built-up  Area,Vittasandra,2,1246,2,1,64.5
Super built-up  Area,Whitefield,3,1985,3,2,75
Super built-up  Area,Hosakerehalli,3,1590,3,3,49
Plot  Area,Hunasamaranahalli,4,4000,4,2,675
Super built-up  Area,Electronic City Phase II,2,775,2,2,38
Super built-up  Area,RWF West Colony,2,1000,2,1,50
Super built-up  Area,Hebbal Kempapura,3,1800,3,2,175
Super built-up  Area,Bommasandra,2,1035,2,1,41
Super built-up  Area,Dasarahalli,3,1520,2,1,75
Super built-up  Area,Whitefield,2,1360,2,1,95
Plot  Area,Bileshivale,4,6000,5,3,400
Super built-up  Area,Kodigehaali,2,1117,2,2,56
Plot  Area,KR Puram,4,1200,4,3,120
Super built-up  Area,EPIP Zone,2,1330,2,1,92.5
Super built-up  Area,Marathahalli,3,1937,3,2,160
Super built-up  Area,Electronic City,2,1128,2,1,65.49
Super built-up  Area,Neeladri Nagar,2,1053,2,1,45
Super built-up  Area,Panathur,2,1198,2,1,77
Super built-up  Area,Marathahalli,2,1152,2,1,56
Super built-up  Area,1st Block Jayanagar,6,1200,6,2,125
Super built-up  Area,Frazer Town,2,1625,2,1,75
Super built-up  Area,Kundalahalli,3,1397,3,3,105
Super built-up  Area,Yeshwanthpur,3,1523,3,3,170
Super built-up  Area,Kambipura,2,883,2,1,45
Super built-up  Area,Kaggalipura,1,700,1,0,38
Super built-up  Area,Yelahanka,2,1170,2,1,62.5
Super built-up  Area,Kanakpura Road,3,1200,2,2,42
Built-up  Area,Manayata Tech Park,3,2400,3,2,170
Super built-up  Area,Kullappa Colony,2,1480,2,2,65
Super built-up  Area,Akshaya Nagar,3,1897,3,2,120
Super built-up  Area,Rachenahalli,2,996,2,1,67
Super built-up  Area,Haralur Road,3,1875,3,2,110
Super built-up  Area,Williams Town,3,1500,2,2,98
Super built-up  Area,Jaya Nagar East,3,3095,3,3,350
Super built-up  Area,Ambalipura,3,1390,2,1,175
Super built-up  Area,Yelahanka,3,1445,3,0,65.255
Super built-up  Area,Yelahanka,1,697,1,0,45
Built-up  Area,Sarjapur  Road,1,710,1,1,27
Carpet  Area,Iggalur,2,910,2,1,30.5
Built-up  Area,Sompura,3,1025,2,1,48
Super built-up  Area,Magadi Road,2,884,2,0,46.5
Plot  Area,Harlur,4,1200,4,,244
Super built-up  Area,Horamavu Agara,3,1453,2,1,46.48
Super built-up  Area,Sarjapur  Road,4,3335,5,2,300
Super built-up  Area,Thanisandra,2,850,2,0,36.435
Super built-up  Area,Bellandur,2,1281,2,1,74
Built-up  Area,Cooke Town,1,565,1,1,35
Built-up  Area,Varthur,2,1024,2,2,42
Built-up  Area,Electronic City,3,1620,3,2,62
Super built-up  Area,Whitefield,2,1254,2,2,40
Built-up  Area,Banashankari,3,1300,2,2,75
Built-up  Area,Doddakallasandra,2,1233,2,2,43
Plot  Area,Chokkanahalli,1,1200,1,1,28
Super built-up  Area,Hosur Road,3,1510,2,1,105
Super built-up  Area,Kaggalipura,2,950,2,1,65
Super built-up  Area,Battarahalli,3,1945,3,2,97.42
Super built-up  Area,Uttarahalli,2,1008,2,3,45
Super built-up  Area,Thanisandra,3,1265,2,1,79
Super built-up  Area,Hebbal,3,1255,2,1,77.68
Built-up  Area,Kanakpura Road,4,2689,6,2,220
Built-up  Area,Yelenahalli,2,1200,2,2,46.17
Super built-up  Area,Sarjapur  Road,3,1403,3,3,51.63
Super built-up  Area,Kudlu Gate,3,1535,3,2,85
Plot  Area,Chikkaballapur,3,1500,3,3,100
Super built-up  Area,Chamrajpet,3,1475,2,2,120
Super built-up  Area,Uttarahalli,3,1390,2,2,60.47
Super built-up  Area,Raja Rajeshwari Nagar,3,1278,2,1,53.76
Super built-up  Area,VGP Layout,2,1133,2,2,55
Plot  Area,Classic Paradise Layout,5,1560,5,1,145
Plot  Area,Byappanahalli,5,2900,5,2,90
Super built-up  Area,Kogilu,2,1170,2,1,51.99
Plot  Area,Sahakara Nagar,3,1200,3,3,200
Super built-up  Area,Whitefield,3,1697,3,2,94.79
Super built-up  Area,Thanisandra,3,1651,3,3,97.38
Super built-up  Area,Vasanth nagar,3,1560,3,1,188
Super built-up  Area,Hennur Road,3,1192,2,1,60
Built-up  Area,OMBR Layout,2,1078,2,3,65
Plot  Area,Kumaraswami Layout,7,800,7,3,105
Super built-up  Area,Kasavanhalli,2,1349,2,2,78
Plot  Area,Ulsoor,9,2300,8,1,210
Super built-up  Area,7th Phase JP Nagar,3,1680,3,2,120
Super built-up  Area,Rayasandra,3,1314,2,2,63
Super built-up  Area,Garudachar Palya,2,1060,2,1,48.7
Built-up  Area,Kalyan nagar,2,820,2,0,39
Plot  Area,Whitefield,4,5000,4,3,400
Super built-up  Area,BEML Layout,3,2000,3,2,85
Super built-up  Area,Kalkere,2,856,2,3,40
Super built-up  Area,Rajaji Nagar,3,1621,4,0,130
Plot  Area,ITPL,3,1200,3,1,68.4
Super built-up  Area,Bannerghatta Road,3,1484,3,2,52.5
Plot  Area,T.C. Palya,4,600,5,2,60
Plot  Area,Siddapura,4,14000,3,2,800
Super built-up  Area,Yelahanka New Town,1,500,1,1,20
Super built-up  Area,Makali,1,485,1,1,15
Super built-up  Area,7th Phase JP Nagar,2,1050,2,1,42
Super built-up  Area,Uttarahalli,3,1617,3,3,66.68
Built-up  Area,Electronic City,2,550,1,1,16
Built-up  Area,RWF West Colony,3,1384,3,2,62.28
Super built-up  Area,Devanahalli,2,1408,2,2,85
Built-up  Area,Uttarahalli,2,1150,2,1,49
Super built-up  Area,Akshaya Nagar,3,1410,2,2,75
Built-up  Area,Kaggadasapura,4,2150,4,1,100
Super built-up  Area,Koramangala,3,2292,4,1,275
Built-up  Area,Malleshwaram,3,2006,3,,297
Built-up  Area,Maragondanahalli,3,1508,3,2,70.25
Built-up  Area,Ramamurthy Nagar,2,1040,2,2,50
Plot  Area,TC Palaya,2,1240,2,1,60
Super built-up  Area,Kudlu Gate,3,1535,3,1,78
Built-up  Area,Lakshminarayana Pura,2,1180,2,2,75
Built-up  Area,Abbigere,6,2200,6,2,68
Super built-up  Area,Bannerghatta Road,2,1400,2,2,78
Super built-up  Area,Raja Rajeshwari Nagar,1,500,1,1,25
Plot  Area,Whitefield,4,4800,4,3,525
Super built-up  Area,Sarjapur  Road,3,1984,4,1,146
Plot  Area,Whitefield,4,3000,5,3,250
Super built-up  Area,Garudachar Palya,3,1960,3,3,160
Super built-up  Area,Sarjapur  Road,2,1035,2,1,45
Built-up  Area,Vibuthipura,4,2150,4,1,80
Built-up  Area,Whitefield,3,1700,3,2,115
Super built-up  Area,Hosakerehalli,4,3024,5,1,248
Super built-up  Area,Tumkur Road,3,1586,3,1,100
Built-up  Area,Hennur,3,2264,,,155
Plot  Area,Chikka Tirupathi,4,2325,4,1,120
Super built-up  Area,Yelahanka,2,1120,2,2,55
Super built-up  Area,Yelahanka,3,1440,,,67.98
Super built-up  Area,Sarjapur  Road,2,1128,2,2,59
Plot  Area,5th Block Hbr Layout,6,1200,6,2,250
Super built-up  Area,Jigani,2,924,2,2,65
Super built-up  Area,Suraksha Nagar,3,1600,3,2,52
Super built-up  Area,Pai Layout,2,1006,2,2,35
Super built-up  Area,Amruthahalli,2,1200,2,2,55
Super built-up  Area,Jalahalli West,2,1250,2,1,62
Plot  Area,Defence Layout,3,1200,3,1,130
Built-up  Area,Kannamangala,2,957,2,1,56
Super built-up  Area,Whitefield,2,1140,2,2,41
Super built-up  Area,Roopena Agrahara,2,1050,2,1,67
Super built-up  Area,Kasturi Nagar,3,1565,3,2,88.5
Super built-up  Area,Whitefield,2,1190,2,3,57
Built-up  Area,Whitefield,3,2842,3,2,162
Built-up  Area,Kanakpura Road,3,1558.67,2,2,65
Super built-up  Area,Electronics City Phase 1,1,630,1,1,39
Super built-up  Area,Whitefield,3,1403,2,2,60.81
Super built-up  Area,Kanakpura Road,3,1542,2,3,85
Built-up  Area,Haralur Road,4,2750,4,0,220
Super built-up  Area,Iblur Village,4,3596,5,1,290
Super built-up  Area,Kengeri Satellite Town,3,1635,2,,78
Super built-up  Area,Mysore Road,2,1239,2,1,53
Super built-up  Area,Haralur Road,2,1194,2,2,47
Super built-up  Area,Dooravani Nagar,3,1596,3,1,105
Super built-up  Area,Channasandra,2,1009,2,1,38.34
Super built-up  Area,Hosa Road,3,1726,3,2,81.99
Super built-up  Area,Kudlu Gate,3,1535,3,2,86
Super built-up  Area,Banashankari Stage V,3,1300,2,1,58.5
Plot  Area,Whitefield,4,3100,4,2,465
Super built-up  Area,Coconut Garden,3,1800,3,3,80
Super built-up  Area,Binny Pete,1,665,1,0,50.75
Plot  Area,Chamrajpet,9,4050,7,1,1200
Plot  Area,TC Palaya,3,1500,2,1,100
Built-up  Area,Kalkere,2,925,2,2,48
Super built-up  Area,Old Airport Road,4,3356,4,,251
Super built-up  Area,Gollahalli,2,1395,2,1,63.59
Super built-up  Area,Sonnenahalli,3,1415,2,1,55
Super built-up  Area,Begur,3,1419,2,2,59
Super built-up  Area,Kasavanhalli,2,1121,2,2,78
Super built-up  Area,Kambipura,3,1082,2,1,45
Super built-up  Area,KR Puram,2,1100,2,1,47
Super built-up  Area,Hoodi,3,1606,3,3,89.55
Built-up  Area,Billekahalli,3,1650,3,2,88
Super built-up  Area,D Souza Layout,3,4634,4,3,1015
Super built-up  Area,Old Airport Road,2,1206,2,3,75
Built-up  Area,Sarjapur  Road,3,1495,2,0,64
Plot  Area,Malleshwaram,8,840,7,2,195
Super built-up  Area,Electronic City,2,710,2,2,16
Super built-up  Area,Balagere,2,1210,2,1,72
Super built-up  Area,Nagarbhavi,3,1523,2,2,53.4
Super built-up  Area,Whitefield,2,1232,2,2,45
Super built-up  Area,Rachenahalli,1,680,1,1,44
Super built-up  Area,Hebbal,3,1355,3,1,83.87
Super built-up  Area,Thanisandra,3,1430,2,2,51.46
Super built-up  Area,Kothannur,3,1275,2,2,43.85
Super built-up  Area,Electronic City,2,1070,2,1,56.1
Plot  Area,Bettahalsoor,3,1200,3,1,85
Plot  Area,Electronic City,4,2000,4,0,120
Super built-up  Area,Bommanahalli,2,1200,2,2,40
Super built-up  Area,Marathahalli,3,1610,3,1,90
Super built-up  Area,Haralur Road,2,1140,2,2,43
Super built-up  Area,Raja Rajeshwari Nagar,2,1143,2,2,38.65
Super built-up  Area,Jakkur,4,3467.86,6,3,249
Super built-up  Area,Rachenahalli,3,1530,2,2,74.4
Super built-up  Area,7th Phase JP Nagar,2,980,2,2,69
Super built-up  Area,Whitefield,3,1485,3,2,65
Plot  Area,Whitefield,3,1500,3,1,130
Super built-up  Area,Whitefield,2,1280,2,1,75
Super built-up  Area,Thanisandra,2,1265,2,2,85
Built-up  Area,"ECC Road, Whitefield, ",2,1132,2,1,67
Super built-up  Area,Ashwath Nagar,2,1262,2,2,63
Super built-up  Area,JP Nagar,2,940,2,1,49
Super built-up  Area,Seetharampalya,3,1515,3,3,88
Super built-up  Area,Jigani,3,1300,3,3,150
Built-up  Area,Kothanur,3,1840,3,1,69
Built-up  Area,Electronic City,2,890,2,2,45
Super built-up  Area,Rukmaiah Layout,3,1655,3,2,86.06
Super built-up  Area,Hennur Road,3,2060,3,1,149
Super built-up  Area,Bommanahalli,3,1730,3,1,96
Built-up  Area,Yelahanka,3,2195,4,2,127
Super built-up  Area,Kathriguppe,3,1650,3,2,125
Plot  Area,KR Puram,2,1200,2,0,71
Super built-up  Area,Hosa Road,2,1079,2,1,32.37
Super built-up  Area,Panathur,2,1085,2,1,36
Built-up  Area,Maruthi Sevanagar,7,5000,7,,299
Super built-up  Area,Yelahanka,2,1075,2,1,51.5
Super built-up  Area,Devanahalli Int. Airport,2,1380,2,1,80
Super built-up  Area,Puttanahalli,3,1450,3,1,65
Super built-up  Area,Thubarahalli,2,1200,2,2,78
Super built-up  Area,Benson Town,3,3200,4,,350
Super built-up  Area,Hoodi,3,1639,3,1,98.32
Super built-up  Area,Jakkuru Layout,2,1200,2,1,54
Super built-up  Area,Vijayanagar,3,1739,3,1,116
Built-up  Area,Palanahalli,4,4346,5,,500
Super built-up  Area,Old Madras Road,2,935,2,1,32.72
Super built-up  Area, Thanisandra,1,510,1,1,25.25
Plot  Area,Devasandra Extension,6,1200,6,3,180
Super built-up  Area,Nagondanahalli,2,1178,2,3,47
Built-up  Area,Chikkalasandra,3,1375,2,1,50
Super built-up  Area,Chandapura,3,1065,2,1,33
Super built-up  Area,2nd Phase Judicial Layout,3,1450,2,1,50.75
Built-up  Area,BEML Layout,2,999,2,3,45
Super built-up  Area,Amruthahalli,2,4400,3,2,475
Plot  Area,Marathahalli,5,1350,4,1,135
Built-up  Area,Kothannur,2,1100,2,2,40
Super built-up  Area,Koramangala,3,1835,2,3,155
Super built-up  Area,Hoodi,4,2090,4,0,95.1
Super built-up  Area,Lingadheeranahalli,3,1519,3,1,93
Built-up  Area,Dommasandra,3,1267,3,2,56
Super built-up  Area,Sanjay nagar,2,1150,2,3,72.2
Super built-up  Area,Marathahalli,2,1146,2,1,70
Plot  Area,1st Block HRBR Layout,8,1200,7,0,235
Built-up  Area,Kannamangala,3,1550,3,3,65
Built-up  Area,Chandapura,2,850,1,1,18.5
Super built-up  Area,Richmond Town,3,2200,3,,187
Built-up  Area,"Sarjapur Road, ",3,3329,3,2,330
Carpet  Area,Electronics City Phase 1,1,785,1,1,55
Super built-up  Area,Hebbal Kempapura,3,2900,4,,300
Built-up  Area,Raja Rajeshwari Nagar,3,1610,3,2,74
Super built-up  Area,Bellandur,2,921,2,2,40
Plot  Area,Kengeri Satellite Town,3,850,3,2,95
Built-up  Area,Bannerghatta Road,5,2700,5,0,158
Super built-up  Area,Sarjapur  Road,3,1700,3,3,110
Built-up  Area,Sarjapur,2,1020,2,2,35
Super built-up  Area,Billekahalli,2,1090,2,3,52
Plot  Area,Bagalur Main Road,4,3600,4,,300
Super built-up  Area,Haralur Road,2,1027,2,2,44
Super built-up  Area,Thanisandra,2,1185,2,2,42.1
Super built-up  Area,Doddathoguru,2,850,2,1,25
Built-up  Area,Harlur,2,1197,2,1,84
Super built-up  Area,Byadarahalli,4,3500,3,3,450
Super built-up  Area,Poorna Pragna Layout,2,920,2,2,39.55
Super built-up  Area,Chamrajpet,9,716,9,1,296
Super built-up  Area,Raja Rajeshwari Nagar,2,1105,2,1,65
Super built-up  Area,Yeshwanthpur,3,1850,3,3,100
Super built-up  Area,Judicial Layout,3,1300,3,1,64
Built-up  Area,"Varthur Road, ",3,1595,3,2,76
Super built-up  Area,Kodihalli,4,3073,5,2,696
Built-up  Area,Horamavu Agara,2,755,2,1,37.49
Built-up  Area,Nagasandra,5,4050,5,2,140
Super built-up  Area,Kanakpura Road,3,1300,2,3,69
Built-up  Area,Bannerghatta Road,2,1215,2,0,50
Super built-up  Area,Kanakpura Road,2,900,2,1,46
Super built-up  Area,Banashankari Stage III,2,1145,2,3,58.4
Super built-up  Area,Chikka Banaswadi,2,1093,2,2,65
Super built-up  Area,Babusapalaya,3,1213,2,2,41.39
Super built-up  Area,Bannerghatta Road,3,1654,3,2,100
Super built-up  Area,NGR Layout,2,1105,2,1,52.48
Super built-up  Area,Babusapalaya,3,1611,2,2,66
Built-up  Area,Outer Ring Road East,2,1367,2,2,62
Super built-up  Area,Devanahalli,2,1010,2,1,51
Plot  Area,Kavika Layout,3,750,2,1,75
Carpet  Area,Vinayaka Nagar,3,1535,3,1,95
Super built-up  Area,Anekal,2,620,2,1,22
Built-up  Area,Horamavu Agara,2,982,2,1,47.65
Super built-up  Area,Banashankari Stage II,2,1700,2,2,150
Super built-up  Area,Whitefield,2,1330,2,1,71
Built-up  Area,JP Nagar,3,2500,3,2,135
Super built-up  Area,Poorna Pragna Layout,3,1475,2,2,58.99
Super built-up  Area,Bhoganhalli,3,1410,3,1,65
Super built-up  Area,Yelahanka New Town,1,440,1,1,16.5
Super built-up  Area,Yelahanka,3,1614,3,2,95
Super built-up  Area,Neeladri Nagar,2,1363,2,2,68
Built-up  Area,Kogilu,2,650,2,0,28
Super built-up  Area,Dodda Kempaiah Layout,2,1015,2,1,45
Super built-up  Area,Horamavu Banaswadi,2,1156,2,2,46
Super built-up  Area,Hennur Busstop,2,1100,2,1,62.7
Super built-up  Area,KR Puram,3,1455,3,2,46
Super built-up  Area,GB Palya,2,930,2,1,45
Built-up  Area,AMS Layout,3,1650,2,2,80
Built-up  Area,KR Puram,2,1200,2,0,90
Plot  Area,9th Block Jayanagar,1,700,1,0,150
Super built-up  Area,Karuna Nagar,4,2900,3,,135
Super built-up  Area,Kadugodi,3,1890,4,3,127
Super built-up  Area,Ashwathnagar,3,2197,4,3,280
Super built-up  Area,Hebbal Kempapura,3,3522,3,2,380
Super built-up  Area,Gaurava Nagar,3,1240,2,2,46
Built-up  Area,HRBR Layout,2,1440,2,2,98
Super built-up  Area,Kodichikkanahalli,1,650,1,2,38
Super built-up  Area,Budigere,1,764,1,1,32
Plot  Area,Sector 7 HSR Layout,5,900,4,0,90
Super built-up  Area,Raja Rajeshwari Nagar,3,1693,3,3,57.39
Built-up  Area,Hoodi,3,1445,3,2,65
Super built-up  Area,Kanakpura Road,2,900,1,0,45
Super built-up  Area,Singasandra,2,1030,2,,55
Super built-up  Area,Yelahanka,3,1381,2,2,52.48
Built-up  Area,Basapura,2,1100,2,1,60
Super built-up  Area,Hoodi,3,1575,3,2,66.39
Plot  Area,Thigalarapalya,2,1200,2,1,65
Super built-up  Area,Begur Road,2,1200,2,2,43.2
Super built-up  Area,Kasturi Nagar,2,1080,2,2,80
Plot  Area,Hebbal Kempapura,5,2280,5,,200
Super built-up  Area,Akshaya Nagar,3,1360,2,2,85
Super built-up  Area,Jakkur,3,1865,3,1,124
Super built-up  Area,Sarjapur  Road,3,1157,2,1,75
Super built-up  Area,Kammasandra,2,674,2,1,29
Super built-up  Area,Whitefield,3,1405,2,1,78
Super built-up  Area,Begur Road,2,1160,2,2,44.08
Plot  Area,Kengeri Satellite Town ( BDA SITE),4,1600,3,1,172
Super built-up  Area,Hebbal,3,1790,3,2,127
Super built-up  Area,Electronic City,2,1128,2,1,65.65
Super built-up  Area,Panathur,2,1180,2,1,70
Built-up  Area,AGS Layout,3,1450,2,2,85
Built-up  Area,Kengeri,1,340,1,1,10
Built-up  Area,Srinagar,4,2000,3,1,166
Super built-up  Area,Rachenahalli,2,1050,2,2,53.5
Super built-up  Area,Varthur,2,1125,2,2,40
Super built-up  Area,Vittasandra,2,1246,2,1,68
Super built-up  Area,HSR Layout,2,1372,2,1,61
Super built-up  Area,Uttarahalli,3,1330,2,1,56
Super built-up  Area,Binny Pete,3,2465,5,2,234
Super built-up  Area,Dasarahalli,2,1300,2,3,55
Plot  Area,Brigade Road,2,1420,1,0,220
Plot  Area,Bannerghatta,4,810,4,1,50
Super built-up  Area,Channasandra,2,1065,2,1,35
Built-up  Area,Hessarghatta,2,700,2,0,27
Carpet  Area,Hebbal,2,547.34,2,0,42.72
Super built-up  Area,Belathur,2,1050,2,1,45
Super built-up  Area,Maruthi HBCS Layout,3,1250,3,3,39.5
Built-up  Area,Electronic City,2,865,2,0,42
Super built-up  Area,Uttarahalli,2,1200,2,2,44
Built-up  Area,Srirampura,3,1756,3,3,100
Plot  Area,Malleshwaram,9,750,8,,150
Super built-up  Area,Yelahanka,1,628,1,1,24
Plot  Area,9th Phase JP Nagar,7,1200,6,2,195
Super built-up  Area,5th Phase JP Nagar,2,1207,2,2,63
Super built-up  Area,Kalena Agrahara,3,1765,3,1,125
Built-up  Area,Electronic City,2,1130,2,1,32.64
Super built-up  Area,Devanahalli Road,3,1532,3,3,92
Built-up  Area,Ejipura,3,1650,3,0,110
Built-up  Area,Horamavu Banaswadi,4,1200,4,2,105
Carpet  Area,Bhoganhalli,2,804.1,2,1,69.09
Super built-up  Area,Doddathoguru,2,1200,2,2,75
Super built-up  Area,Kengeri,2,1197,2,2,50
Built-up  Area,Green Woods Layout,2,1200,2,2,66
Super built-up  Area,Uttarahalli,3,1385,2,2,48.48
Super built-up  Area,Craig Park Layout,2,1010,2,3,148
Super built-up  Area,Whitefield,3,2225,3,3,115
Super built-up  Area,Immadihalli,2,1180,2,2,48
Super built-up  Area,Banagiri Nagar,3,1525,2,3,122
Super built-up  Area,Ananth Nagar,2,1100,2,2,31.5
Super built-up  Area,Hiremath Layout,3,1435,3,3,70
Built-up  Area,Attibele,1,400,1,1,14
Super built-up  Area,Dommasandra,2,1200,2,2,50
Super built-up  Area,Whitefield,2,1272,2,1,95.05
Super built-up  Area,Whitefield,2,1205,2,1,39
Built-up  Area,Kalena Agrahara,2,980,2,1,40
Super built-up  Area,Malleshpalya,2,1225,2,2,46.86
Built-up  Area,Whitefield,3,1541,3,1,72
Super built-up  Area,Ramagondanahalli,3,1610,2,2,111
Super built-up  Area,Jalahalli,2,1694,2,2,125
Plot  Area,Jnanabharathi Layout,3,600,3,2,75
Super built-up  Area,Kaggalipura,2,950,2,1,39
Super built-up  Area,Muneshwara Nagar,3,1560,2,3,66
Super built-up  Area,Chandapura,2,1201,2,2,27
Plot  Area,Chandapura,2,1500,2,1,60
Super built-up  Area,Malleshpalya,3,1785,3,2,75
Built-up  Area,Raja Rajeshwari Nagar,2,1258,2,1,63.53
Super built-up  Area,Electronic City,2,910,2,2,42
Super built-up  Area,Thigalarapalya,2,1297,2,2,112
Super built-up  Area,Kundalahalli,2,1291,2,3,49
Built-up  Area,Chikkasandra,2,1070,2,2,42
Super built-up  Area,Varthur,2,1012,2,1,66.5
Super built-up  Area,Mahadevpura,2,1260,2,3,57.6
Super built-up  Area,Sarjapur  Road,2,1282,2,2,72
Super built-up  Area,Kanakpura Road,3,1843,3,2,92.15
Plot  Area,Bharath Housing Society Layout,4,2400,3,,200
Built-up  Area,Chikka Tirupathi,5,3356,5,2,105
Super built-up  Area,Hebbal,4,2790,5,3,198
Super built-up  Area,EPIP Zone,2,1330,2,1,86.98
Super built-up  Area,Konanakunte,3,1400,2,1,73
Built-up  Area,Whitefield,2,1192,2,1,71
Built-up  Area,3rd Block Jayanagar,2,1000,2,1,130
Super built-up  Area,Thigalarapalya,2,1297,2,2,103
Super built-up  Area,Sarjapur  Road,1,580,1,0,17.835
Super built-up  Area,Vijayanagar,3,1490,3,2,100
Super built-up  Area,Rayasandra,3,1373,3,2,72
Super built-up  Area,7th Phase JP Nagar,2,1035,2,1,41.39
Plot  Area,Kadugodi,4,3750,4,0,210
Super built-up  Area,Doddakallasandra,2,1010,2,1,40.39
Built-up  Area,Sarjapur,2,1195,2,1,42
Super built-up  Area,HSR Layout,3,1750,3,2,95
Super built-up  Area,Malleshpalya,2,1052,2,2,50
Super built-up  Area,Horamavu Banaswadi,2,1180,2,2,58
Built-up  Area,Padmanabhanagar,5,3680,4,2,440
Built-up  Area,Hormavu,3,2100,3,2,73
